2020-09-30T11:50:03.050467Z,27,90715858,62687053
2020-09-30T12:00:02.216051Z,102,92724849,64835044
2020-09-30T12:10:02.782222Z,20,92548396,48095096
2020-09-30T12:20:02.931612Z,63,91710413,63230010
2020-09-30T12:30:02.256160Z,19,90148807,62853027
2020-09-30T12:40:02.560010Z,21,92606786,63415170
2020-09-30T12:50:02.576031Z,32,93113503,65390408
2020-09-30T13:00:02.586217Z,22,92310214,67474741
2020-09-30T13:10:02.967080Z,21,92215065,65627045
2020-09-30T13:20:02.180755Z,19,92431039,64632805
2020-09-30T13:30:02.213965Z,20,92476113,19375212
2020-09-30T13:40:02.184285Z,23,91911250,64103248
2020-09-30T13:50:02.242056Z,27,92498952,64349839
2020-09-30T14:00:02.310363Z,59,91239709,9083367
2020-09-30T14:10:02.506471Z,61,92655984,12835664
2020-09-30T14:20:02.632522Z,21,92453262,64406022
2020-09-30T14:30:03.020713Z,23,92103846,62933137
2020-09-30T14:40:17.336920Z,32,41245431,12906452
2020-09-30T14:50:02.581708Z,56,92438049,69120641
2020-09-30T15:00:02.773446Z,21,92708438,806129
2020-09-30T15:10:02.706411Z,19,92664389,5912266
2020-09-30T15:20:02.337726Z,21,92590159,7335474
2020-09-30T15:30:02.618859Z,22,92584215,8148542
2020-09-30T15:40:02.142829Z,26,92604003,5976622
2020-09-30T15:50:03.175462Z,19,92130939,6207041
2020-09-30T16:00:02.847553Z,21,92117469,5787370
2020-09-30T16:10:02.613936Z,21,92627929,2471981
2020-09-30T16:20:02.781079Z,20,92128164,3560801
2020-09-30T16:30:02.150541Z,19,92424377,650706
2020-09-30T16:40:02.657956Z,66,92153751,714405
2020-09-30T16:50:02.422902Z,60,92495975,709102
2020-09-30T17:00:02.148324Z,63,93011390,3833388
2020-09-30T17:10:03.223408Z,22,92498207,617629
2020-09-30T17:20:02.830116Z,19,92733977,643360
2020-09-30T17:30:02.934644Z,29,92785138,803540
2020-09-30T17:40:02.522505Z,59,93007835,786296
2020-09-30T17:50:02.218652Z,61,91586167,718165
2020-09-30T18:10:02.108594Z,21,92467256,1218152
2020-09-30T18:20:02.465671Z,63,92674008,65462826
2020-09-30T18:30:07.924468Z,27,92535467,64835187
2020-09-30T18:40:02.160138Z,26,92664546,22091574
2020-09-30T18:50:02.417090Z,21,93285279,44532022
2020-09-30T19:00:02.406104Z,29,90716306,1851673
2020-09-30T19:10:02.881660Z,21,92660469,62176976
2020-09-30T19:20:03.043879Z,20,92726831,25372358
2020-09-30T19:30:02.466077Z,66,90874302,61820692
2020-09-30T19:40:03.047653Z,20,92738049,63321139
2020-09-30T19:50:03.070137Z,61,91900934,60985979
2020-09-30T20:00:02.433688Z,25,92719375,55541016
2020-09-30T20:10:02.578487Z,19,91807905,46161761
2020-09-30T20:20:02.815585Z,63,92217261,67581713
2020-09-30T20:30:02.096658Z,58,92866059,68677762
2020-09-30T20:40:02.410723Z,19,92579462,68022050
2020-09-30T20:50:02.422333Z,65,91983317,68839631
2020-09-30T21:00:02.779899Z,22,92356431,67529740
2020-09-30T21:10:02.204374Z,18,93141964,68898727
2020-09-30T21:20:02.288681Z,63,91383067,67496632
2020-09-30T21:30:02.661615Z,57,92169596,30819123
2020-09-30T21:40:03.018077Z,19,92425743,69062391
2020-09-30T21:50:09.046480Z,107,92571952,1117444
2020-09-30T22:00:02.913012Z,20,92793382,66835080
2020-09-30T22:10:03.034063Z,19,92180591,66671957
2020-09-30T22:20:02.203566Z,25,92880075,68253813
2020-09-30T22:30:02.917674Z,21,92689507,67639845
2020-09-30T22:40:02.308449Z,59,92406316,63881512
2020-09-30T22:50:02.626645Z,26,92769011,66978163
2020-09-30T23:00:02.851320Z,57,92040738,65869262
